,feature,scores,pvalues,support
2355,ICD_Dx_B999,26.271635276059477,3.1048905821302756e-07,True
2374,ICD_Dx_C170,39.18752690576218,4.2513893871590573e-10,True
2377,ICD_Dx_C173,18.897048966150997,1.4136227546542393e-05,True
2381,ICD_Dx_C182,13.888483788516146,0.00019663693373850436,True
2388,ICD_Dx_C189,17.271839858062304,3.306615994965344e-05,True
2394,ICD_Dx_C220,15.57135744536707,8.079902236991382e-05,True
2398,ICD_Dx_C228,23.915981088554354,1.0454729875278755e-06,True
2401,ICD_Dx_C240,12.796532098789708,0.00035133373059434566,True
2404,ICD_Dx_C250,15.524400472499488,8.282309402322046e-05,True
2407,ICD_Dx_C253,13.421047213514818,0.0002520074348047387,True
2411,ICD_Dx_C259,42.396961770057324,8.363839981471317e-11,True
2414,ICD_Dx_C269,18.897048966150987,1.4136227546542393e-05,True
2418,ICD_Dx_C342,18.89704896615119,1.4136227546542393e-05,True
2454,ICD_Dx_C44529,18.89704896615115,1.4136227546542393e-05,True
2476,ICD_Dx_C493,18.897048966151107,1.4136227546542393e-05,True
2518,ICD_Dx_C511,18.89704896615102,1.4136227546542393e-05,True
2560,ICD_Dx_C772,39.977653705990214,2.8478988884491784e-10,True
2581,ICD_Dx_C7932,18.897048966151107,1.4136227546542393e-05,True
2589,ICD_Dx_C7972,18.897048966151107,1.4136227546542393e-05,True
2683,ICD_Dx_C9481,18.897048966150987,1.4136227546542393e-05,True
2698,ICD_Dx_D038,14.311423222258302,0.0001571647496486933,True
2699,ICD_Dx_D039,14.311423222258206,0.0001571647496486933,True
2714,ICD_Dx_D119,18.89704896615098,1.4136227546542393e-05,True
2727,ICD_Dx_D1339,16.94601639837099,3.922589233056917e-05,True
2768,ICD_Dx_D229,16.946016398371,3.922589233056917e-05,True
2787,ICD_Dx_D291,18.8970489661511,1.4136227546542393e-05,True
2819,ICD_Dx_D3A8,13.382504755597202,0.0002572216342269706,True
2828,ICD_Dx_D473,14.637439733409673,0.00013226869703972165,True
2833,ICD_Dx_D484,18.897048966151196,1.4136227546542393e-05,True
2847,ICD_Dx_D500,14.144033552453779,0.00017173079921111847,True
2853,ICD_Dx_D531,18.89704896615116,1.4136227546542393e-05,True
2868,ICD_Dx_D62,55.26057427996959,1.2816612737115017e-13,True
2871,ICD_Dx_D638,10.696425729029176,0.0010824335218158827,True
2874,ICD_Dx_D649,10.758221767634922,0.0010469749228954395,True
2878,ICD_Dx_D682,18.89704896615115,1.4136227546542393e-05,True
2879,ICD_Dx_D68318,18.897048966151118,1.4136227546542393e-05,True
2883,ICD_Dx_D6859,24.246328443124785,8.815563256066931e-07,True
2888,ICD_Dx_D689,28.42919103623338,1.0250313797166647e-07,True
2908,ICD_Dx_D72829,119.72684712179137,1.7580903486545794e-27,True
2935,ICD_Dx_D869,18.897048966151175,1.4136227546542393e-05,True
2943,ICD_Dx_E032,18.897048966151036,1.4136227546542393e-05,True
2944,ICD_Dx_E034,18.897048966151143,1.4136227546542393e-05,True
3016,ICD_Dx_E1165,19.182466175787567,1.2180989234562411e-05,True
3019,ICD_Dx_E119,19.482861070686983,1.0415678410584392e-05,True
3026,ICD_Dx_E1365,23.915981088555476,1.0454729875273535e-06,True
3028,ICD_Dx_E139,9.128877880189307,0.0025318246989939654,True
3042,ICD_Dx_E240,18.89704896615116,1.4136227546542393e-05,True
3061,ICD_Dx_E43,40.68964546983214,1.9852735662754288e-10,True
3062,ICD_Dx_E440,16.5346223024557,4.867992175332151e-05,True
3065,ICD_Dx_E46,27.714075735795046,1.4794727788245702e-07,True
3082,ICD_Dx_E639,8.97302047154551,0.0027565878139852603,True
3096,ICD_Dx_E7439,18.897048966151033,1.4136227546542393e-05,True
3098,ICD_Dx_E780,10.708610580121443,0.001075346930893035,True
3103,ICD_Dx_E784,18.897048966151104,1.4136227546542393e-05,True
3107,ICD_Dx_E789,18.897048966151168,1.4136227546542393e-05,True
3134,ICD_Dx_E861,28.782551657376498,8.551513269716408e-08,True
3136,ICD_Dx_E870,14.775787154238072,0.00012294247323582782,True
3137,ICD_Dx_E871,21.62128151791388,3.4275770030734836e-06,True
3138,ICD_Dx_E872,15.516234992029315,8.318023956577598e-05,True
3144,ICD_Dx_E8779,16.946016398370773,3.922589233056917e-05,True
