number_of_features,algorithm,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
50,rf,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.8208947561422809,810.0,0.31557423679924895,746.0,0.8945376762337333,7.0,0.9904594321691612,0.9903871554545736,0.9994155221774288
50,rf,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini'}",0.8211282239335043,806.0,0.3214504061794912,683.0,0.8937089648672242,11.0,0.9901951176051318,0.9901517447469176,0.9993768936172279
50,rf,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'entropy'}",0.8631823737929348,223.0,0.3712326796363381,206.0,0.885725574321874,99.0,0.9594202898550724,0.9576794468361344,0.9882620595067726
50,rf,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini'}",0.8495782911624495,402.0,0.3529943455274839,339.0,0.8930058568657009,14.0,0.9596920289855072,0.957982399189946,0.9882459639940601
50,rf,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'entropy'}",0.8510567167827894,383.0,0.36012217487938275,284.0,0.8851287327036451,114.0,0.8532207769066288,0.8499686552979633,0.903581408241518
50,rf,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'gini'}",0.8406637330399706,551.0,0.34379013324030616,439.0,0.8835231156621701,158.0,0.8581254454739844,0.8552147337679221,0.9035206231540718
50,rf,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'entropy'}",0.8389377826671556,580.0,0.3447515143996593,430.0,0.8948877153464194,6.0,0.9874717866476598,0.9873291207859499,0.9995303032134356
50,rf,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'gini'}",0.8290410707737441,723.0,0.3276513730344351,619.0,0.8945243583317792,8.0,0.9880182347350914,0.9879086036800478,0.9993779982177232
50,rf,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'entropy'}",0.8315230411930082,694.0,0.3313339940294013,575.0,0.8954825762373597,5.0,0.9912850439534332,0.99124144079487,0.9994716543425568
50,rf,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'gini'}",0.8216238846106834,803.0,0.3167555936885754,734.0,0.8896042803136268,39.0,0.9915523283440248,0.9915319061761844,0.9995333418790816
50,rf,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'entropy'}",0.856255347756998,306.0,0.36237566116728137,262.0,0.8844726967225641,125.0,0.957241922071751,0.9553256481987216,0.9880233288713964
50,rf,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'gini'}",0.8468518518518519,451.0,0.3499649335356433,371.0,0.8858605924147291,94.0,0.9602355072463771,0.9585730654566588,0.9878930915868404
50,rf,"{'n_estimators': 50, 'max_depth': 2, 'criterion': 'entropy'}",0.8431420364258647,510.0,0.3419976144046125,460.0,0.8811547413446993,232.0,0.8608428367783321,0.8576629191166963,0.9051645071797548
50,rf,"{'n_estimators': 50, 'max_depth': 2, 'criterion': 'gini'}",0.8374544676689892,607.0,0.34615886194576817,410.0,0.8832759561886112,170.0,0.8507766096459966,0.8486754008745218,0.9003918319330344
50,rf,"{'n_estimators': 50, 'max_depth': 20, 'criterion': 'entropy'}",0.8391834739029459,577.0,0.3365423556181625,525.0,0.8912529763523664,24.0,0.9885557733428368,0.9883984426557696,0.9990905074612992
50,rf,"{'n_estimators': 50, 'max_depth': 20, 'criterion': 'gini'}",0.8325088619973109,681.0,0.32875272099056674,603.0,0.893696339855568,12.0,0.9866565692563556,0.986485746075284,0.999237002191378
50,rf,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'entropy'}",0.8263262437354847,757.0,0.3224967605594605,676.0,0.8906355115343569,28.0,0.9921032311712996,0.9920725965537164,0.999564387953108
50,rf,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'gini'}",0.8159332599926659,853.0,0.3077444208627347,811.0,0.8856814916050189,101.0,0.9918255523877406,0.9918252924539296,0.9994375898444858
